TARGET,OEXP,POLARITY
Two things,especially great,StrongPositive
view to the old city,panoramic,Positive
the hotel,definitely worths it,StrongPositive
the buffet breakfast,very various,StrongPositive
it,very various,StrongPositive
the dawning,absolutely fantastic,StrongPositive
The price,reasonable,Positive
The price,not cheap,Negative
it,served since very early morning,Positive
view to the old city,Fantastic,StrongPositive
The hotel,located in a centre of Tallinn,Positive
The hotel,very short walking distance from the old city,Positive
The hotel,short driving distance from the airport,Positive
everything,good,Positive
everything,absolutely nothing to complain about,StrongPositive
The villas,nicely laid out across the expansive grounds,Positive
The grounds,very extensive,StrongPositive
cruise ship concept,luxury,StrongPositive
daily exercise,good,Positive
the walking,can be far from the main buildings,Negative
vacation,Great,StrongPositive
The hotel,beautiful,Positive
rooms,Very spacious,StrongPositive
rooms,comfortable,Positive
a lot of bars,There is,Positive
la carte restaurants.We,There is,Positive
hotel,Amazing,StrongPositive
Hotel,very beaituful,StrongPositive
,everything you need,Positive
rooms,superb,StrongPositive
Interior,superb,StrongPositive
location,good,Positive
airport,5 minutes,Positive
place,good,Positive
conference rooms,with all necessary infrastructure,Positive
conference rooms,good,Positive
The hotel,could do with some renovation,Negative
the walk,Situated across the river,Positive
the walk,close to one of the bridges,Positive
the walk,only 10 minutes,Positive
The area around,not the nicest,Negative
this price,you don 't expect more,Positive
they,didn 't have a second person,Negative
The check in,quite a bit of time,Negative
hotel,alright to stay for a night and explore the city,Positive
location to explore Lyon,Good,Positive
hotel,a bit dated,Negative
hotel,basic,Negative
,"if you need to stay longer , there are probably better options",Negative
The food,expensive,Negative
a cigarette,find in the toilet,Negative
set of elevators,there is only one,Negative
the hotel,a pyramid,Negative
,Cheap,Positive
,miserable,Negative
This,requires walking all around the hotel,Negative
an upgrade,offered,Positive
the elevators,only in one corner,Negative
The roof top bar,unmatched by other hotels,Positive
The roof top bar,great,StrongPositive
The sports ( pool ) area,small,Negative
The sports ( pool ) area,boring,Negative
the restaurant,a dive !,Negative
,Good,Positive
it,offer more,Negative
it,For fast in and out OK,Positive
it,are far better,Negative
it,Key Hotel and Swisshotel,Negative
The restaurant,incredibly boring for lunch and dinner,StrongNegative
The restaurant,OK for breakfast,Positive
the view of the city,Only plus,Positive
The breakfast,exceptional,StrongPositive
service,exceptional,StrongPositive
place,restful,Positive
place,Great,StrongPositive
,feel very welcome,StrongPositive
,feel like at home,Positive
start up for excursions,"not far away from Utrecht , Amsterdam , and The Haque",Positive
start up for excursions,Good,Positive
restaurant for lunch or dinner,There is no,Negative
the friendly staff,perfect,StrongPositive
The central location,perfect,StrongPositive
The hotel,a little bid old furnished,Negative
Breakfast,good,Positive
hotel,Nice for this price,Positive
The hotel,working together with diffrent restaurants,Positive
WIFI,There is,Positive
WIFI,free,Positive
hotel,Nice,Positive
hotel,in the middle of Holland,Positive
* * * star hotel,Nice,Positive
* * * star hotel,in the middle of Holland,Positive
the parking situation,a little chaos,Negative
room,Good,Positive
climation,Good,Positive
tv,no german no english.,Negative
tv,only italien,Negative
balcony,No,Negative
the service at breakfast,bad,Negative
,very loud at the weekends,StrongNegative
only a few things to eat.,there are,Negative
Everything,ok,Positive
everything,ok,Positive
the beach,Very near,StrongPositive
the location,very good.,StrongPositive
The size of room,reasonable,Positive
it,close to all attractions and amenities,Positive
The breakfast,very modest,StrongNegative
It,very basic,StrongNegative
walls,in very poor conditions,StrongNegative
floor,in very poor conditions,StrongNegative
ceiling,in very poor conditions,StrongNegative
mice,There are,Negative
the choice,very poor,StrongNegative
hotel,Very bad,StrongNegative
All furniture,in very poor conditions,StrongNegative
this hotel,would not recommend,Negative
It,spotlessly clean,StrongPositive
food,excellent,StrongPositive
Dana Beach,a bit of heaven on earth,StrongPositive
staff,really friendly,StrongPositive
absolutely nothing to dislike,There is,Positive
staff,Friendly,Positive
public restrooms,Dirty,Negative
spot on sheet,dirty,Negative
spot on sheet,big,Negative
tube television,very old,StrongNegative
,really angry !,StrongNegative
commode,old,Negative
,very upset about this hotel !,StrongNegative
The room,very old · fashioned,StrongNegative
cabinet,there is,Negative
cabinet,old,Negative
,looking forward to be back,Positive
holiday,brilliant,StrongPositive
spot,Excellent,StrongPositive
It,friendly,Positive
It,comfortable,Positive
,Relaxing,Positive
,friendly !,StrongPositive
the hotel,under renovation,Negative
The rooms,comfortable,Positive
The rooms,clean,Positive
the staff,paid attention to detail,Positive
the staff,felt very welcome,Positive
lobby,great,Positive
the buffet,fantastic,StrongPositive
the buffet,healthy,Positive
the buffet,selection,Positive
breakfast,nice,Positive
a set of stairs,there is,Negative
,Very welcoming !,StrongPositive
the staff,very attentive,StrongPositive
parking,ample,Positive
position,beautiful,Positive
,very clean,StrongPositive
the reception area,maintained to a very high standard,StrongPositive
The grounds,maintained to a very high standard,StrongPositive
the dining area,maintained to a very high standard,StrongPositive
,well furbished,Positive
location,great,StrongPositive
beach villa,overlooking the sea,Positive
the staff,friendly,Positive
the staff,very patient,StrongPositive
the room,small,Negative
,treated to a full breakfast daily,Positive
the Vivaldi Hotel,will definitely consider,Positive
They,helpful in providing directions and general info,Positive
it,quite servicable,Positive
it,clean,Positive
The Vivaldi Hotel,friendly,Positive
The Vivaldi Hotel,quaint,Positive
The Vivaldi Hotel,walking distance to the metro,Positive
,will be back again and again,StrongPositive
,will be back again,Positive
,The best holiday ever,StrongPositive
Dana,the best,StrongPositive
,Good !,Positive
,couldn 't go back,Negative
holiday,except from the food,Negative
holiday,Brilliant,StrongPositive
the food,diabolical,StrongNegative
they,brilliant !,StrongPositive
parking,free,Positive
Amsterdam.Major,next,Positive
subway station,within 8 mins walk,Positive
Amsterdam city center,Very well conected,StrongPositive
nothing but highway,There is,Negative
hotel,Basic,Negative
hotel,Quite OK,Positive
Restaurants,ok,Positive
Restaurants,not outstanding,Negative
a choice,to consider when you just want to spend a night and get fast to the airport first thing in the morning,Positive
,impersonal,Negative
,clean,Positive
,Big,Positive
Staff,not,Negative
Staff,friendly,Positive
the rooms,functional,Positive
the rooms,clean,Positive
a hotel,not to stay when you want to visit Paris,Negative
,far from Paris,Negative
,Close to the airport,Positive
The price,ok,Positive
,nothing special,Negative
park,huge,StrongPositive
this hotel,certainly recommend,StrongPositive
playground,big,Positive
playground,there was,Positive
Hotel,Great !,StrongPositive
stay,great,StrongPositive
Hotel,In the Center of the City,Positive
Hotel,Very Upsale,StrongPositive
Numerous shopping,within walking distance,Positive
dining areas,within walking distance,Positive
The hotel,very expensive,Negative
The hotel,upscale,Positive
hotel,really nice,StrongPositive
hotel,in great condition,StrongPositive
hotel,very easy to travel to anywhere,Positive
the pool,enthusiastic,StrongPositive
many things to do,There are,Positive
water sports,There are,Positive
mountain excursions,There are,Positive
it,strongly recommend,StrongPositive
The personnel,very friendly,StrongPositive
mini market,there were,Positive
restaurant,there were,Positive
many facilities,there were,Positive
cafe,there were,Positive
beach bar,there were,Positive
two,there are,Positive
the lift,takes you from pool level to the beach,Positive
the service,at a high level,Positive
Thessaloniki,less than an hour,Positive
sea view,fantastic,StrongPositive
beaches,organized,Positive
beaches,one of the best I ever visited,StrongPositive
beaches,blue flag,Positive
weekend break,fantastic,StrongPositive
beach hotel,beautiful,Positive
Internet connection,high speed,Positive
Internet connection,free,Positive
The rooms,very clean,StrongPositive
The rooms,big,Positive
The bathroom,is 'n extremely large,Negative
The bathroom,clean,Positive
The bathroom,comfortable,Positive
table to work,nice,Positive
place,good,Positive
It,few minutes away from everything you might need,Positive
place,very pleasant,StrongPositive
hotel,very pleasant,StrongPositive
The neightborhood,very central,StrongPositive
The neightborhood,nice,Positive
The staff,wonderful,StrongPositive
The staff,welcoming,Positive
The staff,helpful,Positive
variety of,a bonus,Positive
the offer to dine,a bonus,Positive
The food,a bonus,Positive
this hotel,would return,Positive
the money,Definitely worth,Positive
our stay,really enjoyed,StrongPositive
all the staff,well done,Positive
staff,excellent,StrongPositive
anything,could not fault,Positive
holiday,Excellent,StrongPositive
,not disappointed,Positive
the room,rather small,Negative
The location,rather good,Positive
pipes,exposed,Negative
pipes,rather noisy,Negative
the bathroom,very small,StrongNegative
the bathroom,gaps in the wall,Negative
certain amount of dust,There was,Negative
stay,Budget,Positive
The breakfast,decent enough,Positive
The accommodation,left something to be desired,Negative
holidays,one of the best,StrongPositive
stuff,friendly,Positive
holiday,the best,StrongPositive
management,excellent,StrongPositive
vacation,The most enjoyable,StrongPositive
Dana beach resort,visit again,Positive
location,not far from the city centers,Positive
location,Great,StrongPositive
the amenities,well known at the time of booking,Positive
The place,good enough,Positive
place,Not for family with kids or if you are used at 4 / 5 * comfort,Negative
Many restaurants,close by,Positive
the receptionists,happy to give a recommendation,Positive
any bus ride,never needed,Positive
stay at Ibis Bilbao,Great,StrongPositive
business oriented services,offers,Positive
everything,clean,Positive
coktails.Staff,wery friendly,StrongPositive
holiday,Best,StrongPositive
it,enjoyed,Positive
the suite,very luxury.Food,StrongPositive
the suite,clean,Positive
the suite,great.Incredible size,StrongPositive
the staff,very polite,StrongPositive
the staff,speak excellent English,StrongPositive
Tram stop,less than 5 minutes away walking,Positive
The rooms,very clean,StrongPositive
The hotel rooms,OK by European standards,Positive
The hotel rooms,Might be small for American standards,Negative
,Cheap,Positive
,Comfy,Positive
The area around,not what you expect from Amsterdam,Negative
food,Fantastic,StrongPositive
moments,Great,StrongPositive
music,Great,StrongPositive
view,breathtaken,StrongPositive
,will always remember,Positive
holidays,Best ever !,StrongPositive
Everything,excellent,StrongPositive
the friendliness,enjoyed,Positive
the time,enjoyed,Positive
bathroom,crazily designed,Negative
bathroom,Dark,Negative
,To be avoided at all costs,StrongNegative
,noise,Negative
Entrance to rooms,only by passing through bar area,Negative
Room,fully visible from the outside,Negative
,Totally overpriced,StrongNegative
service,lousy,StrongNegative
curtains,open daily,Negative
accommodation,Absolutely horrible,StrongPositive
bathtub,no,Negative
soap dish,no,Negative
electrical outlet,no,Negative
room,no place to put luggage,Negative
room,Tiny,StrongNegative
shelf for personal amenities,minuscule,StrongNegative
location,bad,Negative
Köln,really worth visiting,StrongPositive
the rooms,very comfortable,StrongPositive
the underground parking,cost exact 50 % of the room rate,Negative
the food,excellent !,StrongPositive
the Dorint,very comfortable,StrongPositive
winter city trip,Nice,Positive
weekend break,very nice,StrongPositive
the bed,ok,Positive
the bed,wasn 't the most comfortable,Negative
Its,clean,Positive
much diversity on breakfast,There was not,Negative
The room,small,Negative
The room,functional,Positive
TV,had,Positive
Closed,had,Positive
desk.,had,Positive
the bath room,small,Negative
the bath room,had a cool design,Positive
the receptionists,very friendly,StrongPositive
the receptionists,quick,Positive
The hotel,about a 20 minutes walking distance from the city center,Negative
The hotel,theres nothing around,Negative
hotel,good for its price,Positive
the basic needs,satisfies,Positive
it,fresh,Positive
2 star hotel,good,Positive
its,good,Positive
quality,good,Positive
animators,very nice,StrongPositive
cooks,very nice,StrongPositive
receptionist,very nice,StrongPositive
cleaning men,very nice,StrongPositive
people,very nice,StrongPositive
waiters,very nice,StrongPositive
food,delicious,StrongPositive
drinks,delicious,StrongPositive
beach,near the hotel,Positive
Dana Beach,recommend !,StrongPositive
step aerobic,great,StrongPositive
disco,great,StrongPositive
water gym,great,StrongPositive
animations program,great,StrongPositive
oriental dance,great,StrongPositive
,Excellent,StrongPositive
hotel,Really excelent,StrongPositive
room,clean,Positive
room,beautiful,Positive
personnel,competent,Positive
personnel,friendly,Positive
personnel,willing to help offer a good service,Positive
cleanliness,Excellent,StrongPositive
room space,Excellent,StrongPositive
bar,Very good,StrongPositive
restaurant,Very good,StrongPositive
WiFi,not stable,Negative
WiFi,free,Positive
the coffee,not good,Negative
The location,excellent,StrongPositive
The location,close to the central square,Positive
The location,easy to walk around,Positive
Breakfast,not as good as food in the restaurant,Negative
Breakfast,not bad,Positive
value for money,Good,Positive
value for money,Very good,StrongPositive
It,modern,Positive
The bathroom,clean,Positive
The bathroom,a little small,Negative
value for money,good ! ! !,StrongPositive
a coffee / tea machine,had,Positive
The staff,friendly,Positive
The staff,very helpfull,StrongPositive
tv,Good size ! ! !,StrongPositive
a hotel lounge,The only missing thing,Negative
breakfast,really nice,StrongPositive
hotel,nice,Positive
hotel,modern,Positive
hotel,nice,Positive
hotel,very well located,StrongPositive
anything beyond basics,don 't expect,Negative
rooms,very small,StrongNegative
bus stops,are nearby,Positive
The metro,pretty close,Positive
staff,friendly,Positive
staff,helpful,Positive
,friendly,Positive
the Luxemburg gardens,in walking distance,Positive
this hotel,well located,Positive
the Wifi,not able to connect,Negative
hotel,Nice,Positive
The wellness,an absolute pluspoint,StrongPositive
underground parking,There 's,Positive
underground parking,expensive,Negative
sound isolation,good,Positive
The new management,a definete improvement,Positive
noise,no,Positive
hotel,Friendly,Positive
hotel,clean,Positive
tram,stops right in front,Positive
The rooms,not worth,Negative
its price,50 euro a night,Negative
rooms,old furnished,Negative
rooms,Very small,StrongNegative
hotel,Not a comfortable at all,StrongNegative
it,low budget room accommodation,Negative
it,not really a hotel,Negative
Breakfast,no go,Negative
location,not possible to have a quite night sleep at all,Negative
location,very loud,StrongNegative
enough locations,good,Positive
enough locations,there are,Positive
location,Central,Positive
location,Good,Positive
location,2 minutes from Duomo,Positive
Upper rooms,without own bathrooms and WC,Negative
Upper rooms,very small,StrongNegative
there,not recommend,Negative
Breakfast,wonderful !,StrongPositive
Vital Spa,interesting,Positive
Vital Spa,accessible from 7 am to 11 pm !,Positive
Vital Spa,nice,Positive
place,good,Positive
,A little piece of heaven,StrongPositive
hotel,nice,Positive
downtown,At 2 steps,Positive
reception area,a little rough,Negative
the corridors,a little rough,Negative
The rooms,one of the cleanest,Positive
thats,can ask for the price,Positive
any noise,didn 't experience,Positive
unpleasantness,didn 't experience,Positive
location,good,Positive
location,clean,Positive
location,basic,Positive
Travelodges,One of the cleanest,Positive
This Travelodge,"short walk to the shops , restaurants etc.",Positive
This Travelodge,well placed in the City Centre,Positive
This Travelodge,short walk from the station,Positive
hotel,Best,StrongPositive
hotel,one of the best,StrongPositive
the staffs attitudes,exceptional,StrongPositive
the room,exceptional,StrongPositive
attention to detail,felt,Positive
,Can not fault,Positive
this hotel,one of the best I have stayed in,Positive
bathroom,small,Positive
bathroom,clean,Positive
dinner,excellent,StrongPositive
breakfeast,good,Positive
wifi,free,Positive
rooms,small,Negative
Location,excellent,StrongPositive
dinner,excellent,StrongPositive
balcony,big,Positive
balcony,with seasight,Positive
The decor,very old,StrongNegative
,Nothing special !!!,Negative
LCD TV,have,Positive
hotel,3 star standard !!!,Negative
this Hotel,will not stay in Again,Negative
Our room,city view facing Street,Negative
wow about,there is nothing,Negative
dogs,very welcome,StrongPositive
parking areas,god,Positive
place,Quietly,Positive
Amsterdam RAI,Short drive,Positive
,friendly,Positive
areas to take the dogs out,fine,Positive
Staff,very helpful,StrongPositive
sauna,There is no,Negative
swimming pool,There is no,Negative
Flat TV,with discovery,Positive
Flat TV,HBO,Negative
Flat TV,no,Negative
the stuff,quite international,Positive
mattress,ok,Positive
Service,very good,StrongPositive
the mattresses,noises,Negative
the mattresses,complaining,Negative
the mattresses,being old,Negative
it,too much for what it offers,Negative
it,quiet,Positive
room,with view on wall,Negative
,Bit pricey,Negative
,away from center,Negative
,20 · 30 minutes walking to Dubling city center,Negative
the people,very friendly,StrongPositive
the people,willing to help,Positive
resort,Great,StrongPositive
the hotel,very clean,StrongPositive
The food,very very good,StrongPositive
the rooms,very very good,StrongPositive
Staff,lovely,Positive
Staff,willing to assist,Positive
food,okay,Positive
food,abit repetitive at times,Negative
hotel,Lovely,Positive
Hotel,tidy,Positive
Hotel,very clean,StrongPositive
Hotel,lovely,Positive
They,knowledgeable,Positive
They,very friendly,StrongPositive
bikes,Good quality,Positive
bikes,available to hire,Positive
street,safe,Positive
street,quiet,Positive
street,nice,Positive
The rooms,comfortable,Positive
The rooms,very clean,StrongPositive
The rooms,neat,Positive
The rooms,wonderfully decorated,StrongPositive
The breakfast,delicious,StrongPositive
stay,wonderful !,StrongPositive
Martha,fantastic hosts,StrongPositive
Alphons,fantastic hosts,StrongPositive
,will definitely be returning,StrongPositive
fruit,offered,Positive
everything,offered,Positive
tea,offered,Positive
chocolate sprinkles,offered,Positive
juice,offered,Positive
coffee,offered,Positive
breads,offered,Positive
cheese,offered,Positive
the bus stop,close,Positive
a supermarket,close,Positive
food,good,Positive
the hotel,the nicest i have ever stayed in,StrongPositive
lots of choice,there was,Positive
view,beautiful,Positive
staff,amazing,StrongPositive
hotel,Beautiful,Positive
my expectations,exceeded,Positive
The room,lovely,Positive
The room,cleaned really well everyday,Positive
sea.very,excellent,StrongPositive
people.,friendly,Positive
the smilling faces of the emploeys,will not forget,Positive
that place.,would like to be again,Positive
they,helpfull,Positive
My impressions,very good,StrongPositive
the price,very good,StrongPositive
tube stations,Within 5 minutes walking distance,Positive
bus stations,Within 5 minutes walking distance,Positive
check · out procedures,fast,Positive
check · in,fast,Positive
check · out procedures,enjoyed,Positive
check · in,enjoyed,Positive
check · out procedures,smooth,Positive
check · in,smooth,Positive
The studio rooms,luxurious,Positive
The studio rooms,very spacious,StrongPositive
The studio rooms,very clean,StrongPositive
Bathroom,large,Positive
bathrobes,including,Positive
slippers,including,Positive
toiletries,good quality,Positive
colors,relaxing,Positive
furniture,modern,Positive
,will be back,Positive
location,just across the bridge from the Palace of Westminster,Positive
location,excellent,StrongPositive
location,walking distance to numerous touristic attractions,Positive
location,Excellent,StrongPositive
atmosphere of the lobby,quickly remind why you chose this hotel,Positive
the elegance,quickly remind why you chose this hotel,Positive
The main entrance,a small letdown,Negative
Frankfurt,finest !,StrongPositive
the entrance,a small door on the side,Negative
room,a bit small,Negative
bathroom,a bit small,Negative
bed,comfortable,Positive
staff,Good,Positive
It,walking distance of Rome ’s most important sights,Positive
breakfast,great,StrongPositive
hotel,Good,Positive
hotel,4 stars,StrongPositive
The Empire Palace,good,Positive
The Empire Palace,4 stars,StrongPositive
The hotel,lost regular customers !,Negative
this,the last time !,Negative
service,never experienced,Negative
service,miserable,Negative
standards for guests,should pay more attention,Negative
customer service,should pay more attention,Negative
quality of food,poor,Negative
selection,poor,Negative
linen,hard,Negative
towels,hard,Negative
linen,old,Negative
towels,old,Negative
rooms,dated,Negative
many parts of the hotel,closed,Negative
many parts of the hotel,under refurbishment,Negative
staff,unfriendly,Negative
staff,rude,Negative
staff,rude,Negative
staff,Very disappointing,StrongNegative
staff,over · priced,Negative
Hotel,very over · priced,StrongNegative
Everything,unexpected,Positive
relax time,got,Positive
relax time,maximum,Positive
Melia Grand Hermitage,hard to leave it !,StrongPositive
,'LL BE BACK ! ! ! ! !,StrongPositive
Wireless Internet,for an additional € 15 Euros for 24 hours,Negative
Wireless Internet,should be free,Negative
Wireless Internet,okay,Positive
Wireless Internet,offers,Positive
Looks,don 't mean anything,Negative
Looks,don 't mean anything !,Negative
state,a good enough,Positive
The reception area,very good,Positive
The reception area,almost newly decorated,Positive
The outside,dated,Negative
this hotel,extremely reasonable,StrongPositive
this hotel,cheap,Positive
breakfast,Good,Positive
bed,Good,Positive
food,good,Positive
The hotel,laying in the real center of Lyon,Positive
lots of narrow old streets with shopping of all kind,Very close there are,Positive
the old parts of town,all around,Positive
breakfast,good,Positive
wellness facilities,excellent,StrongPositive
the centre,not in,Negative
the public transport system,stops right in front,Positive
parking problems,avoiding,Positive
hotel,My favourite,Positive
value for money,excellent,StrongPositive
service,ordinary,Negative
service,Too expensive,StrongNegative
the bathroom,not clean,Negative
The price,too expensive,StrongNegative
The room,too small,StrongNegative
this hotel,think before making booking,Negative
The booking conditions,they,Negative
The booking conditions,cancelation,Positive
The booking conditions,charged,Negative
The booking conditions,free,Positive
The booking conditions,full amount,Negative
The food,fast food on breakfast,Negative
The food,very usual,Negative
a problem with bathroom equipment,there was,Negative
service,ordinary,Negative
location,The only advantage,Negative
It,located 7 minutes away by foot from Amsterdam cetral train terminal,Positive
the pools,constantly cleaned,Positive
the beach,constantly cleaned,Positive
the pools,manicured,Positive
the beach,manicured,Positive
sun beds,more than enough,Positive
drink,could not fault,Positive
the food,could not fault,Positive
towels,always available,Positive
the waiter service,totally five star,StrongPositive
oasis,brilliant,StrongPositive
hotel resort,terrific,StrongPositive
,fantastically clean,StrongPositive
,lots of space,Positive
studio room,"with a "" kitchen """,Negative
better options around,to be avoided,Negative
better options around,there are,Negative
the kichen,old,Negative
the kichen,"kind in a "" cupboard """,Negative
the kichen,gross,Negative
the room,Not a lot of space,Negative
quality,very poor,StrongNegative
bathroom,old,Negative
Breakfast,brought to the room,Positive
Service,not reliable,Negative
location,Great,StrongNegative
location,but no !,Negative
,would not go back !,Negative
Everything,wonderfully clean,StrongPositive
range of food,wonderful,StrongPositive
scrambled egg on toast,offered,Positive
the en · suite bathroom,ingeniously placed,Positive
hosts,Friendly,Positive
hosts,helpful,Positive
Our hosts,friendly,Positive
Our hosts,very helpful,StrongPositive
the noise level,higher than usual,Negative
the bathroom,in a good shape,Positive
the room,in a good shape,Positive
hotel,budget,Positive
hotel,OK condition,Positive
the breakfast,really poor quality,StrongNegative
the restaurant area,really poor quality,StrongNegative
hotel,Budget,Positive
This hotel,located a couple of blocks from the central Railway station in Milan,Positive
swimmingpool water,warm,Positive
the balcony,painting,Positive
repair,very well,StrongPositive
the garden,Many people working,Positive
the water in the lagune and pond,cleaned,Positive
foot · paths,new,Positive
The rooms,very clean,StrongPositive
stay,fantastically,StrongPositive
hotel,big,Positive
garden,slendid,StrongPositive
the location,very convenient,StrongPositive
the staff,very friendly,StrongPositive
parking spaces,There were available,Positive
the bathroom,clean,Positive
Our room,spacy,Positive
Our room,clean,Positive
the hotel,good option for short stays / city breaks,Positive
choice,Good,Positive
The hotel,located very close to the subway station,Positive
The hotel,takes just a few stations to the inner city,Positive
the sauna / steam room area,not managed as well,Negative
The sauna / steam room area,constantly invaded,Negative
The SKY ( spa ),a disappointment,Negative
facilities,excellent,StrongPositive
restaurants,superb,StrongPositive
staff,superb,StrongPositive
room,superb,StrongPositive
facility,Wonderful,StrongPositive
Hotel,great,StrongPositive
frequent guest status,respected,Positive
1 room type,only has,Negative
real bar,there 's not,Negative
great luxury,No,Negative
a vending machine,available,Positive
Amenities,minimal,Negative
internet,offered,Positive
internet,free,Positive
upgrades,no were available,Negative
accommodation location,affordable,Positive
accommodation location,clean,Positive
accommodation location,good,Positive
,Up to expectations,Positive
The location,just a few minutes walking from a shopping street / area with plenty of shops bars and restaurants,Positive
The location,great,StrongPositive
hotel,in great condition,StrongPositive
Köln city centre,only a short scenic walk,Positive
the rooms,very comfortable,StrongPositive
this hotel,Will defiantly return,Positive
staff,lovely,StrongPositive
the lobby,welcoming,Positive
holiday,Amazing,StrongPositive
The staff,AMAZING,StrongPositive
location,excellent,StrongPositive
our stay,extended,Positive
The hotel,massive,StrongPositive
The hotel,had everything,Positive
value for money,Amazing,StrongPositive
the amination staff,Loved,StrongPositive
The hotel room,top class,StrongPositive
hotel,very good,StrongPositive
hotel,all inclusive,Positive
this hotel,highly recommend,StrongPositive
The area,spacy,Positive
The area,very luxurous,StrongPositive
every noice,can hear,Negative
Hotel,The worse,StrongNegative
it,had to change,Negative
the mattress,unconfortable !,StrongNegative
The bed,unconfortable !,StrongNegative
Food,good always,Positive
to get a sunbed,had to get early,Negative
5 restaurants,There are,Positive
Food,hot,Positive
they,very good,StrongPositive
Staff,friendly,Positive
Staff,helpful,Positive
choice,very good,StrongPositive
The beach,always busy,Negative
,pleasantly surprised,Positive
Our room,very clean,StrongPositive
the whole hotel,very clean,StrongPositive
The food,one you got to it,Negative
The food,DELICIOUS,StrongPositive
music,Very loud,StrongNegative
The pool area,crowded as hell,StrongNegative
Water,very clean,StrongPositive
room,No there,Negative
stay,weird,Negative
The beach,very nice,StrongPositive
Tho Hotel,okay,Positive
ALOT of people,There were,Negative
Complaints handling,took hours,Negative
Room cleaning,terrible,StrongNegative
the amount of people,couldn 't handle,Negative
location,nice,Positive
the ala carte,was extra,Negative
the local fish market evening,was extra,Negative
this,was not exactly what received,Negative
any other restaurant,does not include,Negative
extra,had to pay,Negative
liquires,no,Negative
wine,no included,Negative
a RS375 off the ala carte menu,an insult,Negative
,Lovely,Positive
,clean,Positive
rooms,nice,Positive
this,has to be paid extra,Negative
iron,never arrived,Negative
a decent room,the case,Negative
a decent room,was not,Negative
a decent room,should get,Negative
,Not recommended at all !,StrongNegative
the bathroom,even smaller,Negative
full continental breakfast,what a shame,Negative
full continental breakfast,even charge some 13 €,Negative
hotel,Centrally located,Positive
hotel,low value,Negative
The room size,unbearable,Negative
lobby,park view,Positive
time spent,Well worth,Positive
the money,Well worth,Positive
swans,Swiming in the pond,Positive
way,very hospitable,StrongPositive
staff,friendly,Positive
location,pleasant,Positive
variety,great,StrongPositive
The food,great,StrongPositive
Checkin,fast,Positive
Checkin,convenient,Positive
Checkin,friendly,Positive
my room,in good shape,Positive
The rooms,on the smaller side,Negative
the price,good,Positive
,Would recommend when in transit,Positive
value for money,Good,Positive
everything,in good shape,Positive
Room,left a good impression,Positive
Lobby,left a good impression,Positive
Executive Lounge,left a good impression,Positive
hotel,surely coming back,Positive
hotel,very good,StrongPositive
nothing that we did not like,There was,Positive
Food,great,StrongPositive
drinks,great,StrongPositive
,Very very good,StrongPositive
Swimmingpools,enough,Positive
hotel,nice,Positive
hotel,Very good,StrongPositive
personal,Very friendly,StrongPositive
Everything,great,StrongPositive
The staff,helpful,Positive
It,centrally located,Positive
It,"minutes from numerous restaurants , bars , etc.",Positive
,great for walking,StrongPositive
Internet access,spotty at best,Negative
the amenities,spotty at best,Negative
Metro key station,minutes from the front door,Positive
The rooms,on the small side,Negative
rooms,small,Negative
location,Great,StrongPositive
it,great value,Positive
The location,can 't be beat,StrongPositive
the beach,2 minutes walking,Positive
our next visit,Already booked,Positive
it,recommend,Positive
The staff,very friendly,StrongPositive
,Will come back for sure !,StrongPositive
sea view,lovely,Positive
the waiters,a bit tired,Negative
The food,good,Positive
the sea,great !,StrongPositive
hotel,the best,StrongPositive
hotel,the best,StrongPositive
room,The biggest,StrongPositive
to get informed,very easy,StrongPositive
The breakfast,adequate,Positive
some items of hot breakfast,should have,Negative
The attending staff,nice,Positive
The attending staff,friendly,Positive
eggs,no,Negative
many varieties of bread,not,Negative
Internet centre,great,StrongPositive
coffee,good,Positive
the AC,worked perfectly,StrongPositive
the hotel,clean,Positive
the hotel,well maintained,Positive
,Ideally Situated,StrongPositive
The hotel staff,warm,Positive
The hotel staff,always helpful,StrongPositive
The hotel staff,welcoming,Positive
razor with gel,provides,Positive
bus tickets,provides,Positive
parking possibilties,Very good,StrongPositive
this hotel,recommend,Positive
breakfast,quite expensive,Negative
hotel,very nice,StrongPositive
hotel,very clean,StrongPositive
hotel,modern,Positive
hotel,Very nice,StrongPositive
room,with maisonette,Positive
room,very nice,StrongPositive
,working well,Positive
Maid service,good,Positive
Breakfast,no frills,Negative
car park,large,Positive
The staff,not work,Negative
The staff,friendly,Positive
Hotel Milano San Siro,Idea,StrongPositive
impression,positive,Positive
bar,just worked,Negative
the hotel,modern,Positive
Service,normal,Positive
It,definitely clean,Positive
The center of Trier,just a 10 · 15 minute drive away,Positive
hotel,very warm,StrongPositive
hotel,comfy,Positive
hotel,makes feel at home,Positive
it,recommend,Positive
Our room,small,Negative
Our room,sufficient,Positive
a Park,There is,Positive
The bathroom,absolutely clean,StrongPositive
The bathroom,pretty new,Positive
the personnel,very keen,StrongPositive
breakfast,enjoyed,Positive
one dinner,enjoyed,Positive
the hotel,enjoyed very much,StrongPositive
both,great,StrongPositive
hotel,Great,StrongPositive
personnel,kind,Positive
food,delicious,StrongPositive
The food,varied.,Positive
The food,good,Positive
it,an all inclusive package,Positive
The rooms,immaculately clean,StrongPositive
the complex,beautiful,Positive
the complex,vast,Positive
here,Would definitely stay again,Positive
